"Month","State.Postal.Code","Population.Staying.at.Home","Population.Not.Staying.at.Home","Number.of.Trips","Number.of.Trips.1","Number.of.Trips.1.3","Number.of.Trips.3.5","Number.of.Trips.5.10","Number.of.Trips.10.25","Number.of.Trips.25.50","Number.of.Trips.50.100","Number.of.Trips.100.250","Number.of.Trips.250.500","Number.of.Trips.500","year"
"162",4,"DE",5647543,23278877,114177642,24677830,29111117,13467558,18828783,18549455,6656372,1706915,714429,356411,108772,2019
"163",4,"FL",99195765,537830895,2645762686,662193163,681392681,335014116,422354237,391478951,109241297,28403199,11483816,2339084,1862142,2019
"164",4,"GA",56365992,258253698,1272551123,275013016,320034534,158154794,205455261,205598257,73534695,20169802,10519055,2781768,1289941,2019
"165",4,"HI",9045587,33438913,177703406,54049673,45614994,18890062,25622904,28969513,3412575,754495,222618,73977,92595,2019
"166",4,"IA",18443160,75951750,463397376,100041624,122630180,57532743,70267018,72403543,26976687,9281923,3164718,717919,381021,2019
"167",4,"ID",10474153,41991257,229455819,49653130,67056049,31965136,34955404,27671061,10972510,4604273,2027569,338758,211929,2019
"168",4,"IL",83050119,298013871,1825701204,456535954,453227112,229569411,281867022,279776924,89600734,20108288,9534742,3086478,2394539,2019
"169",4,"IN",38904986,161237794,918990151,211585657,226602053,115471192,146771612,149729782,47630023,13436059,5658931,1355723,749119,2019
"170",4,"KS",16724501,70353529,440799947,109826664,117124535,50252207,62677603,64669563,23852139,8221458,3156400,634046,385332,2019
"171",4,"KY",26436875,107205385,625794716,127508071,157069359,83080919,104092460,103106498,34726454,10502919,4302584,1022229,383223,2019
"172",4,"LA",24460220,114911710,679334077,164204319,169347355,86410238,110647487,96804460,34125137,13413697,3658105,485568,237711,2019
"173",4,"MA",46252383,160179207,1059967831,247046113,290079092,135746119,161217790,161597955,47759402,10271536,2897516,794257,2558051,2019
"174",4,"MD",34532453,146195047,783444915,179776909,192794360,92477615,127966966,136186810,40009007,8107051,3893118,1132919,1100160,2019
"175",4,"ME",9036600,30992820,156861226,27672421,38269445,21015337,24616647,28345671,11731592,3700342,1075538,198718,235515,2019
"176",4,"MI",59440948,239519942,1311252977,285090741,318386950,164706110,221171531,224649906,70191684,17414861,6502907,1591994,1546293,2019
"177",4,"MN",31768026,136052904,779973084,179088864,186707003,89677140,119936212,137525713,44838695,14575740,5867055,818641,938021,2019
"178",4,"MO",37575597,145656153,831868930,183808036,205590673,99256604,130502936,143304352,47950738,13977506,5625885,1181760,670440,2019
"179",4,"MS",14865944,74456176,358694542,82666852,91397386,41227896,53491245,56291056,22209665,7900300,2739268,622369,148505,2019
"180",4,"MT",7106582,24665158,148586037,39534637,44045840,18161469,18526403,14390779,7530361,4438744,1595774,223613,138417,2019
"181",4,"NC",53280917,257275513,1405055423,295457853,365655698,183901614,231088761,226625095,73746113,19067644,6617794,1724147,1170704,2019
"182",4,"ND",4487995,18244655,103732564,26945203,29619802,13857547,11910215,9796494,5582465,4043239,1730219,189023,58357,2019
"183",4,"NE",10838227,46862993,284147463,65318760,78072266,36958667,44622516,38053669,13056887,5538322,1875347,369720,281309,2019
"184",4,"NH",7995944,32573386,175509932,28264249,39386002,22480773,30857064,35283869,13883368,3539305,1094681,189044,531577,2019
"185",4,"NJ",57008335,209430455,1241748314,329932747,328240512,146698777,177989529,173299976,59630737,16452179,6314680,1615860,1573317,2019
"186",4,"NM",12299720,50370970,317785274,74826999,90824727,41733834,46739030,35069442,15484311,9182221,3190858,563337,170515,2019
"187",4,"NV",20058933,70694577,378162180,102187739,96068046,46768770,59578027,52065433,11277084,5834581,3175936,740671,465893,2019
"188",4,"NY",151471753,433002527,2839030584,788631649,704504730,351900710,441513597,396692881,108866926,28471914,11197832,2699461,4550884,2019
"189",4,"OH",70449283,279162107,1532767044,343720796,363509909,186596987,257991891,277423327,73561359,19497445,6514599,2494949,1455782,2019
"190",4,"OK",21378577,96552143,520633157,127072667,130559213,60367648,76518468,85934735,26950380,9203124,3348387,504760,173775,2019
"191",4,"OR",28115960,97221070,556764423,133728135,168052703,72930593,73631732,73844728,21909667,7832433,3269539,718830,846063,2019
